------------------------------------------------------------
Client connecting to 192.168.0.103, TCP port 5001
TCP window size: 85.0 KByte (default)
------------------------------------------------------------
[  1] local 192.168.0.105 port 47240 connected with 192.168.0.103 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 0.0000-60.0000 sec  66.5 MBytes  9.30 Mbits/sec
[  1] 60.0000-120.0000 sec  60.1 MBytes  8.41 Mbits/sec
[  1] 120.0000-180.0000 sec  122 MBytes   17.1 Mbits/sec
[  1] 180.0000-240.0000 sec  114 MBytes  15.9 Mbits/sec
[  1] 240.0000-300.0000 sec  98.2 MBytes  13.7 Mbits/sec
[  1] 300.0000-360.0000 sec  99.1 MBytes  13.9 Mbits/sec
[  1] 360.0000-420.0000 sec   124 MBytes  17.4 Mbits/sec
[  1] 420.0000-480.0000 sec   122 MBytes  17.1 Mbits/sec
[  1] 480.0000-540.0000 sec   106 MBytes  14.7 Mbits/sec
[  1] 540.0000-600.0000 sec   111 MBytes  15.5 Mbits/sec
[  1] 600.0000-660.0000 sec  98.9 MBytes  13.8 Mbits/sec
[  1] 660.0000-720.0000 sec   135 MBytes  18.9 Mbits/sec
[  1] 720.0000-780.0000 sec   131 MBytes  18.3 Mbits/sec
[  1] 780.0000-840.0000 sec   137 MBytes  19.2 Mbits/sec
[  1] 840.0000-900.0000 sec   118 MBytes  16.5 Mbits/sec
[  1] 900.0000-960.0000 sec   122 MBytes  17.1 Mbits/sec
[  1] 960.0000-1020.0000 sec   137 MBytes  19.1 Mbits/sec
[  1] 1020.0000-1080.0000 sec   120 MBytes  16.8 Mbits/sec
[  1] 1080.0000-1140.0000 sec  93.4 MBytes  13.1 Mbits/sec
[  1] 1140.0000-1200.0000 sec   131 MBytes  18.4 Mbits/sec
[  1] 1200.0000-1260.0000 sec   106 MBytes  14.8 Mbits/sec
[  1] 1260.0000-1320.0000 sec  95.9 MBytes  13.4 Mbits/sec
[  1] 1320.0000-1380.0000 sec  98.2 MBytes  13.7 Mbits/sec
[  1] 1380.0000-1440.0000 sec   108 MBytes  15.2 Mbits/sec
[  1] 1440.0000-1500.0000 sec   106 MBytes  14.7 Mbits/sec
[  1] 1500.0000-1560.0000 sec   114 MBytes  15.9 Mbits/sec
[  1] 1560.0000-1620.0000 sec   106 MBytes  14.8 Mbits/sec
[  1] 1620.0000-1680.0000 sec   109 MBytes  15.2 Mbits/sec
[  1] 1680.0000-1740.0000 sec   104 MBytes  14.6 Mbits/sec
[  1] 1740.0000-1800.0000 sec   112 MBytes  15.7 Mbits/sec
[  1] 1800.0000-1860.0000 sec   104 MBytes  14.5 Mbits/sec
[  1] 1860.0000-1920.0000 sec   111 MBytes  15.5 Mbits/sec
[  1] 1920.0000-1980.0000 sec   101 MBytes  14.1 Mbits/sec
[  1] 1980.0000-2040.0000 sec  97.9 MBytes  13.7 Mbits/sec
[  1] 2040.0000-2100.0000 sec   113 MBytes  15.8 Mbits/sec
[  1] 2100.0000-2160.0000 sec  73.8 MBytes  10.3 Mbits/sec
[  1] 2160.0000-2220.0000 sec   100 MBytes  14.0 Mbits/sec
[  1] 2220.0000-2280.0000 sec   112 MBytes  15.6 Mbits/sec
[  1] 2280.0000-2340.0000 sec   110 MBytes  15.4 Mbits/sec
[  1] 2340.0000-2400.0000 sec   109 MBytes  15.3 Mbits/sec
[  1] 2400.0000-2460.0000 sec   107 MBytes  15.0 Mbits/sec
[  1] 2460.0000-2520.0000 sec  92.5 MBytes  12.9 Mbits/sec
[  1] 2520.0000-2580.0000 sec  77.5 MBytes  10.8 Mbits/sec
[  1] 2580.0000-2640.0000 sec  67.9 MBytes  9.49 Mbits/sec
[  1] 2640.0000-2700.0000 sec  63.2 MBytes  8.84 Mbits/sec
[  1] 2700.0000-2760.0000 sec  65.9 MBytes  9.21 Mbits/sec
[  1] 2760.0000-2820.0000 sec   101 MBytes  14.1 Mbits/sec
[  1] 2820.0000-2880.0000 sec   128 MBytes  17.8 Mbits/sec
[  1] 2880.0000-2940.0000 sec   106 MBytes  14.8 Mbits/sec
[  1] 2940.0000-3000.0000 sec  83.5 MBytes  11.7 Mbits/sec
[  1] 3000.0000-3060.0000 sec   109 MBytes  15.2 Mbits/sec
[  1] 3060.0000-3120.0000 sec   102 MBytes  14.3 Mbits/sec
[  1] 3120.0000-3180.0000 sec  31.5 MBytes  4.40 Mbits/sec
[  1] 3180.0000-3240.0000 sec  83.8 MBytes  11.7 Mbits/sec
[  1] 3240.0000-3300.0000 sec   101 MBytes  14.1 Mbits/sec
[  1] 3300.0000-3360.0000 sec   107 MBytes  14.9 Mbits/sec
[  1] 3360.0000-3420.0000 sec  99.2 MBytes  13.9 Mbits/sec
[  1] 3420.0000-3480.0000 sec   110 MBytes  15.4 Mbits/sec
[  1] 3480.0000-3540.0000 sec  66.6 MBytes  9.31 Mbits/sec
